Latitude,Longitude,Zone,Land-Use
45.5100225,9.1549343,zone9,industrial
45.5100556,9.1545054,zone9,industrial
45.510066,9.1537979,zone9,industrial
45.5100913,9.15368,zone9,industrial
45.5100845,9.1535856,zone9,industrial
45.5091394,9.1544063,zone9,industrial
45.5075924,9.1681044,zone9,industrial
45.5071834,9.1683421,zone9,industrial
45.5071795,9.1683307,zone9,industrial
45.50693,9.1684753,zone9,industrial
45.5068258,9.1684995,zone9,industrial
45.5068099,9.1682749,zone9,industrial
45.5068007,9.1681386,zone9,industrial
45.5057105,9.1687339,zone9,industrial
45.5057455,9.168858,zone9,industrial
45.5063089,9.1709273,zone9,industrial
45.5068722,9.1729967,zone9,industrial
45.5069946,9.1734463,zone9,industrial
45.507053,9.173277,zone9,industrial
45.5070695,9.1731949,zone9,industrial
45.5070929,9.1730256,zone9,industrial
45.507127,9.1727783,zone9,industrial
45.507157,9.1725781,zone9,industrial
45.5071948,9.1723258,zone9,industrial
45.5072235,9.1721285,zone9,industrial
45.507235,9.1720509,zone9,industrial
45.5072462,9.1719754,zone9,industrial
45.5072798,9.1717508,zone9,industrial
45.5073039,9.1715905,zone9,industrial
45.5073191,9.1714896,zone9,industrial
45.5073272,9.1714357,zone9,industrial
45.5073927,9.1709995,zone9,industrial
45.5074131,9.1708642,zone9,industrial
45.5074328,9.1707326,zone9,industrial
45.507399,9.1707036,zone9,industrial
45.5074264,9.1705331,zone9,industrial
45.5074522,9.1703731,zone9,industrial
45.5074862,9.1703773,zone9,industrial
45.5076182,9.169499,zone9,industrial
45.5076372,9.1693728,zone9,industrial
45.5076577,9.169236,zone9,industrial
45.5076771,9.1691073,zone9,industrial
45.507826,9.1682253,zone9,industrial
45.5076088,9.168163,zone9,industrial
45.5075924,9.1681044,zone9,industrial
45.5080001,9.1674285,zone9,industrial
45.508826,9.1624589,zone9,industrial
45.5083743,9.1626089,zone9,industrial
45.5082873,9.1626401,zone9,industrial
45.50714,9.1630319,zone9,industrial
