Latitude,Longitude,Zone,GHI (kWh/m2)
45.4555639,9.2115885,Zone 4,1414.6
45.4622405,9.2360675,Zone 4,1415.4
45.4513115,9.2593973,Zone 4,1419.1
45.4649844,9.2110652,Zone 4,1412.7
45.464774,9.2111596,Zone 4,1412.7
45.4649462,9.2111247,Zone 4,1412.7
45.462406,9.2160594,Zone 4,1413.7
45.4623358,9.2168733,Zone 4,1413.7
45.4628681,9.217081,Zone 4,1413.1
45.4676318,9.2235374,Zone 4,1412.6
45.4675747,9.2232568,Zone 4,1412.6
45.4633456,9.2252206,Zone 4,1413.8
45.4634822,9.2249021,Zone 4,1413.7
45.4634932,9.2250102,Zone 4,1413.8
45.4635239,9.2249895,Zone 4,1413.7
45.4633346,9.2251496,Zone 4,1413.8
45.4634529,9.2249594,Zone 4,1413.7
45.4635331,9.2249458,Zone 4,1413.7
45.4633699,9.2251999,Zone 4,1413.8
45.4637432,9.2254656,Zone 4,1413.8
45.4552569,9.2080626,Zone 4,1414.5
45.4632498,9.2282205,Zone 4,1414.1
45.463134,9.2279989,Zone 4,1414.1
45.4638744,9.227912,Zone 4,1414.1
45.4654929,9.2293601,Zone 4,1413.6
45.4655259,9.2349793,Zone 4,1414.1
45.4643262,9.231384,Zone 4,1414.5
45.4664481,9.2317786,Zone 4,1413.9
45.4658872,9.2254001,Zone 4,1413.4
45.4381862,9.2245669,Zone 4,1418.9
45.4650896,9.2237184,Zone 4,1413.2
45.4655646,9.2169525,Zone 4,1412.5
45.465701,9.217261,Zone 4,1412.5
45.4552918,9.208084,Zone 4,1414.5
45.4544997,9.2091488,Zone 4,1415.3
45.4540199,9.2086928,Zone 4,1415.3
45.4545201,9.2090852,Zone 4,1415.3
45.4548459,9.2090882,Zone 4,1415.3
45.4612058,9.2438801,Zone 4,1416.1
45.4615018,9.2438218,Zone 4,1416.1
45.4615428,9.2441085,Zone 4,1416.1
45.4611895,9.244294,Zone 4,1416.1
45.4614769,9.244236,Zone 4,1416.1
45.4541198,9.2133409,Zone 4,1415.5
45.4448053,9.2462564,Zone 4,1419.4
45.4448034,9.2463482,Zone 4,1419.4
45.4447342,9.2453134,Zone 4,1419.4
45.430443,9.2454935,Zone 4,1421
45.4260975,9.2514483,Zone 4,1421.9
45.4260261,9.2515285,Zone 4,1421.9
45.4257561,9.2518817,Zone 4,1421.9
45.4253705,9.2521869,Zone 4,1421.9
45.4598258,9.2389094,Zone 4,1416.2
45.4598178,9.2389494,Zone 4,1416.2
45.4587095,9.242552,Zone 4,1416.7
45.458246,9.2481222,Zone 4,1417.1
45.4582629,9.2482022,Zone 4,1417.1
45.4569005,9.2419683,Zone 4,1416.9
45.4569191,9.2421952,Zone 4,1416.9
45.4563364,9.2430066,Zone 4,1417.1
45.4553233,9.2443964,Zone 4,1417.1
